,RowNumber,CustomerId,Surname,CreditScore,Geography,Gender,Age,Tenure,Balance,NumOfProducts,HasCrCard,IsActiveMember,Exited,Salario
32,33,15750181,Sanderson,553.0,Germany,Male,41,9,110112.54,2,0,0,0,235670.0
33,34,15659428,Maggard,520.0,Spain,Female,42,6,,2,1,1,0,247138.0
34,35,15732963,Clements,,Spain,Female,29,9,,2,1,1,0,221497.0
35,36,15794171,Lombardo,475.0,France,Female,45,0,134264.04,1,1,0,1,232935.0
36,37,15788448,Watson,490.0,Spain,Male,31,3,145260.23,1,0,1,0,286136.0
37,38,15729599,Lorenzo,804.0,Spain,Male,33,7,76548.6,1,0,1,0,206964.0
38,39,15717426,Armstrong,850.0,France,Male,36,7,,1,1,1,0,212599.0
39,40,15585768,Cameron,582.0,Germany,Male,41,6,70349.48,2,0,1,0,159250.0
40,41,15619360,Hsiao,472.0,Spain,Male,40,4,,1,1,0,0,287282.0
41,42,15738148,Clarke,465.0,France,Female,51,8,122522.32,1,0,0,1,231695.0
42,43,15687946,Osborne,556.0,France,Female,61,2,117419.35,1,1,1,0,177458.0
43,44,15755196,Lavine,834.0,France,Female,49,2,131394.56,1,0,0,1,297384.0
44,45,15684171,Bianchi,660.0,Spain,Female,61,5,155931.11,1,1,1,0,244279.0
45,46,15754849,Tyler,776.0,Germany,Female,32,4,109421.13,2,1,1,0,204266.0
46,47,15602280,Martin,829.0,Germany,Female,27,9,112045.67,1,1,1,1,298291.0
47,48,15771573,Okagbue,637.0,Germany,Female,39,9,137843.8,1,1,1,1,227319.0
48,49,15766205,Yin,,Germany,Male,38,2,103391.38,1,0,1,0,156701.0
49,50,15771873,Buccho,776.0,Germany,Female,37,2,103769.22,2,1,0,0,302080.0
50,51,15616550,Chidiebele,698.0,Germany,Male,44,10,116363.37,2,1,0,0,198646.0
51,52,15768193,Trevisani,585.0,Germany,Male,36,5,146050.97,2,0,0,0,420649.0
52,53,15683553,O'Brien,788.0,France,Female,33,5,,2,0,0,0,221325.0
53,54,15702298,Parkhill,655.0,Germany,Male,41,8,125561.97,1,0,0,1,131046.0
54,55,15569590,Yoo,601.0,Germany,Male,42,1,98495.72,1,1,0,1,347853.0
55,56,15760861,Phillipps,619.0,France,Male,43,1,125211.92,1,1,1,0,243720.0
56,57,15630053,Tsao,656.0,France,Male,45,5,127864.4,1,1,0,0,261678.0
57,58,15647091,Endrizzi,725.0,Germany,Male,19,0,75888.2,1,0,0,0,268918.0
58,59,15623944,T'ien,,Spain,Female,0,4,,1,1,0,1,168711.0
59,60,15804771,Velazquez,614.0,France,Male,51,4,40685.92,1,1,1,0,122355.0
60,61,15651280,Hunter,742.0,Germany,Male,35,5,136857.0,1,0,0,0,359324.0
61,62,15773469,Clark,687.0,Germany,Female,0,9,152328.88,2,0,0,0,157054.0
62,63,15702014,Jeffrey,555.0,Spain,Male,33,1,56084.69,2,0,0,0,341167.0
63,64,15751208,Pirozzi,684.0,Spain,Male,56,8,78707.16,1,1,1,0,277242.0
64,65,15592461,Jackson,603.0,Germany,Male,26,4,109166.37,1,1,1,0,257042.0
65,66,15789484,Hammond,751.0,Germany,Female,36,6,169831.46,2,1,1,0,220042.0
66,67,15696061,Brownless,,Germany,Female,34,1,101633.04,1,1,0,0,379754.0
67,68,15641582,Chibugo,735.0,Germany,Male,43,10,123180.01,2,1,1,0,207130.0
68,69,15638424,Glauert,661.0,Germany,Female,35,5,150725.53,2,0,1,0,208737.0
69,70,15755648,Pisano,675.0,France,Female,21,8,98373.26,1,1,0,0,285680.0
70,71,15703793,Konovalova,738.0,Germany,Male,58,2,133745.44,4,1,0,1,208278.0
71,72,15620344,McKee,813.0,France,Male,29,6,,1,1,0,0,188812.0
72,73,15812518,Palermo,657.0,Spain,Female,37,0,163607.18,1,0,1,0,243688.0
73,74,15779052,Ballard,604.0,Germany,Female,25,5,157780.84,2,1,1,0,286580.0
74,75,15770811,Wallace,519.0,France,Male,36,9,,2,0,1,0,355132.0
75,76,15780961,Cavenagh,735.0,France,Female,21,1,178718.19,2,1,0,0,366862.0
76,77,15614049,Hu,664.0,France,Male,55,8,,2,1,1,0,144060.0
77,78,15662085,Read,678.0,France,Female,32,9,,1,1,1,0,307012.0
78,79,15575185,Bushell,757.0,Spain,Male,33,5,77253.22,1,0,1,0,190469.0
79,80,15803136,Postle,416.0,Germany,Female,41,10,122189.66,2,1,0,0,193336.0
80,81,15706021,Buley,665.0,France,Female,34,1,96645.54,2,0,0,0,216043.0
81,82,15663706,Leonard,777.0,France,Female,0,2,,1,1,0,1,212380.0
82,83,15641732,Mills,543.0,France,Female,36,3,,2,0,0,0,185557.0
83,84,15701164,Onyeorulu,506.0,France,Female,34,4,90307.62,1,1,1,0,113347.0
84,85,15738751,Beit,493.0,France,Female,46,4,,2,1,0,0,330306.0
85,86,15805254,Ndukaku,652.0,Spain,Female,75,10,,2,1,1,0,298794.0
86,87,15762418,Gant,750.0,Spain,Male,0,3,121681.82,1,1,0,1,246190.0
87,88,15625759,Rowley,,France,Male,0,9,,2,1,0,0,191497.0
88,89,15622897,Sharpe,646.0,France,Female,46,4,,3,1,0,1,318181.0
89,90,15767954,Osborne,635.0,Germany,Female,28,3,81623.67,2,1,1,0,243496.0
90,91,15757535,Heap,647.0,Spain,Female,44,5,,3,1,1,1,214073.0
91,92,15731511,Ritchie,808.0,France,Male,45,7,118626.55,2,1,0,0,152595.0
92,93,15809248,Cole,524.0,France,Female,36,10,,2,1,0,0,278109.0
93,94,15640635,Capon,769.0,France,Male,0,8,,2,1,1,0,227926.0
94,95,15676966,Capon,,Spain,Male,42,4,,2,0,1,0,262178.0
95,96,15699461,Fiorentini,515.0,Spain,Male,35,10,176273.95,1,0,1,0,256858.0
96,97,15738721,Graham,773.0,Spain,Male,41,9,102827.44,1,0,1,0,283720.0
97,98,15693683,Yuille,814.0,Germany,Male,29,8,97086.4,2,1,1,0,2000000.0
98,99,15604348,Allard,710.0,Spain,Male,0,8,,2,0,0,0,229643.0
99,100,15633059,Fanucci,413.0,France,Male,34,9,,2,0,0,0,279082.0
100,101,15808582,Fu,665.0,France,Female,40,6,,1,1,1,0,301873.0
101,102,15743192,Hung,623.0,France,Female,44,6,,2,0,0,0,336125.0
102,103,15580146,Hung,,France,Male,31,9,82674.15,1,1,0,0,182751.0
103,104,15776605,Bradley,528.0,Spain,Male,36,7,,2,1,0,0,311158.0
104,105,15804919,Dunbabin,670.0,Spain,Female,65,1,,1,1,1,1,155878.0
105,106,15613854,Mauldon,,Spain,Female,46,4,107073.27,2,1,1,1,305549.0
106,107,15599195,Stiger,582.0,Germany,Male,0,1,88938.62,1,1,1,0,213246.0
107,108,15812878,Parsons,785.0,Germany,Female,36,2,99806.85,1,0,1,0,295610.0
108,109,15602312,Walkom,605.0,Spain,Male,33,5,150092.8,1,0,0,0,333057.0
109,110,15744689,T'ang,479.0,Germany,Male,35,9,92833.89,1,1,0,1,260403.0
110,111,15803526,Eremenko,685.0,Germany,Male,30,3,90536.81,1,0,1,0,247367.0
111,112,15665790,Rowntree,538.0,Germany,Male,39,7,108055.1,2,1,0,0,244431.0
112,113,15715951,Thorpe,562.0,France,Male,42,2,100238.35,1,0,0,0,223027.0
113,114,15591100,Chiemela,675.0,Spain,Male,36,9,106190.55,1,0,1,0,314756.0
114,115,15609618,Fanucci,721.0,Germany,Male,0,9,154475.54,2,0,1,1,243892.0
115,116,15675522,Ko,628.0,Germany,Female,30,9,132351.29,2,1,1,0,124991.0
116,117,15705512,Welch,668.0,Germany,Female,37,6,167864.4,1,1,0,0,2000000.0
117,118,15698028,Duncan,506.0,France,Female,41,1,,2,1,0,0,297918.0
118,119,15661670,Chidozie,524.0,Germany,Female,31,8,107818.63,1,1,0,1,252570.0
119,120,15600781,Wu,699.0,Germany,Male,34,4,185173.81,2,1,0,0,204759.0
120,121,15682472,Culbreth,828.0,France,Male,0,8,129433.34,2,0,0,0,183366.0
121,122,15580203,Kennedy,674.0,Spain,Male,39,6,120193.42,1,0,0,0,204924.0
122,123,15690673,Cameron,656.0,France,Female,39,6,,2,1,0,0,261524.0
123,124,15760085,Calabresi,684.0,Germany,Female,48,10,126384.42,1,1,1,0,144067.0
124,125,15779659,Zetticci,625.0,France,Female,28,3,,1,0,0,0,274499.0
125,126,15627360,Fuller,432.0,France,Male,42,9,152603.45,1,1,0,1,254263.0
126,127,15671137,MacDonald,549.0,France,Female,52,1,,1,0,1,1,324122.0
127,128,15782688,Piccio,625.0,Germany,Male,0,0,148507.24,1,1,0,1,290419.0
128,129,15575492,Kennedy,828.0,France,Female,41,7,,2,1,0,0,208507.0
129,130,15591607,Fernie,,France,Male,24,9,101827.07,1,1,0,0,152846.0
130,131,15740404,He,758.0,France,Female,34,3,,2,1,1,0,202861.0
131,132,15718369,Kaodilinakachukwu,795.0,Germany,Female,33,9,130862.43,1,1,1,0,329526.0
132,133,15677871,Cocci,687.0,France,Male,38,9,122570.87,1,1,1,0,2000000.0
133,134,15642004,Alekseeva,686.0,France,Male,25,1,,2,0,1,0,284443.0
134,135,15712543,Chinweike,789.0,Germany,Male,0,7,124828.46,2,1,1,0,213906.0
135,136,15584518,Arthur,589.0,Germany,Female,50,5,144895.05,2,1,1,0,277969.0
136,137,15802381,Li,461.0,Germany,Female,34,5,63663.93,1,0,1,0,162665.0
137,138,15610156,Ma,637.0,France,Male,0,2,133463.1,1,0,1,0,303874.0
138,139,15594408,Chia,584.0,Spain,Female,48,2,213146.2,1,1,0,1,183641.0
139,140,15640905,Vasin,579.0,Spain,Female,35,1,129490.36,2,0,1,1,136541.0
140,141,15698932,Groves,756.0,Germany,Male,44,10,137452.09,1,1,0,0,380198.0
141,142,15724944,Tien,663.0,France,Male,34,7,,2,1,1,0,2000000.0
142,143,15628145,Forwood,,France,Female,43,5,125851.93,1,1,1,0,256256.0
143,144,15713483,Greeves,793.0,Spain,Male,52,2,,1,1,0,1,142548.0
144,145,15612350,Taylor,691.0,France,Female,31,5,40915.55,1,1,0,1,285894.0
145,146,15800703,Madukwe,485.0,Spain,Female,0,5,113157.22,1,1,1,0,301046.0
146,147,15705707,Bennelong,635.0,Spain,Female,29,8,138296.94,2,1,0,0,238629.0
147,148,15754105,Olisanugo,650.0,France,Male,0,5,106967.18,1,0,0,0,301269.0
148,149,15703264,Chukwufumnanya,735.0,France,Male,44,9,120681.63,1,1,0,0,317407.0
149,150,15794413,Harris,,France,Male,32,0,,2,0,1,0,2000000.0
150,151,15650237,Morgan,754.0,Spain,Female,32,7,,2,1,0,0,125510.0
151,152,15759618,Alexeeva,535.0,France,Female,48,9,,1,1,0,1,183861.0
152,153,15811589,Metcalfe,716.0,Spain,Male,42,8,,2,1,0,0,347104.0
153,154,15689044,Humphries,539.0,France,Male,0,2,127609.59,1,1,0,0,254828.0
154,155,15709368,Milne,614.0,France,Female,43,6,,2,1,1,0,255087.0
155,156,15679145,Chou,706.0,Spain,Male,57,7,,1,1,0,1,202261.0
156,157,15655007,Li,758.0,France,Female,33,7,,2,0,0,0,213429.0
157,158,15623595,Clayton,586.0,Spain,Female,28,2,,2,1,1,0,318680.0
158,159,15589975,Maclean,646.0,France,Female,73,6,97259.25,1,0,1,0,336268.0
159,160,15804017,Chigolum,631.0,Germany,Female,33,4,123246.7,1,0,0,0,295938.0
160,161,15692132,Wilkinson,717.0,Spain,Female,22,6,101060.25,1,0,1,0,281811.0
161,162,15641122,Wei,684.0,France,Male,30,2,,2,1,0,0,286128.0
162,163,15630910,Treacy,800.0,France,Female,49,7,108007.36,1,0,0,0,246043.0
163,164,15680772,Hu,721.0,Spain,Female,36,2,,2,1,1,0,180867.0
164,165,15658929,Taverner,683.0,Spain,Male,0,0,133702.89,1,1,0,1,168437.0
165,166,15585388,Sherman,660.0,Germany,Male,31,9,125189.75,2,1,1,0,325703.0
166,167,15724623,Taubman,704.0,Germany,Female,24,7,113034.22,1,1,0,1,248197.0
167,168,15588537,Robinson,615.0,Spain,Female,41,9,109013.23,1,1,0,0,277527.0
168,169,15574692,Pinto,667.0,Spain,Female,39,2,,2,1,0,1,262211.0
169,170,15611325,Wood,682.0,Germany,Male,24,9,57929.81,2,0,0,0,265129.0
170,171,15587562,Hawkins,484.0,France,Female,29,4,130114.39,1,1,0,0,269928.0
171,172,15613172,Sun,628.0,Germany,Male,27,5,95826.49,2,1,0,0,290198.0
172,173,15651022,Yost,480.0,Germany,Male,0,10,129608.57,1,1,0,1,205948.0
173,174,15586310,Ting,578.0,France,Male,30,4,169462.09,1,1,0,0,318091.0
174,175,15625524,Rowe,,France,Male,40,5,,2,1,1,0,207663.0
175,176,15755209,Fu,484.0,Spain,Female,35,7,133868.21,1,1,1,0,263862.0
176,177,15645248,Ho,510.0,France,Female,30,0,,2,1,1,0,182056.0
177,178,15790355,Okechukwu,606.0,Germany,Male,36,5,190479.48,2,0,0,0,240507.0
178,179,15762615,Campbell,597.0,Spain,Female,40,8,101993.12,1,0,1,0,212143.0
179,180,15625426,Ashbolt,754.0,Germany,Female,55,3,161608.81,1,1,0,1,251483.0
180,181,15716334,Rozier,850.0,Spain,Female,0,2,122311.21,1,1,1,0,292384.0
181,182,15789669,Hsia,,France,Male,0,2,,2,1,1,0,254464.0
182,183,15621075,Ogbonnaya,,Germany,Female,45,1,162150.42,2,1,0,0,362860.0
183,184,15810845,T'ang,636.0,France,Male,42,2,,2,1,1,0,295864.0
184,185,15719377,Cocci,804.0,France,Female,50,4,,1,1,1,1,236952.0
185,186,15654506,Chang,514.0,France,Male,32,8,,2,1,0,0,245138.0
186,187,15771977,T'ao,730.0,France,Female,39,1,99010.67,1,1,0,0,271816.0
187,188,15708710,Ford,525.0,Spain,Female,37,0,,1,0,1,0,290596.0
188,189,15726676,Marshall,616.0,Spain,Male,30,5,,2,0,1,0,179119.0
189,190,15587421,Tsai,687.0,Germany,Female,34,7,111388.18,2,1,0,0,286705.0
190,191,15726931,Onwumelu,,France,Female,41,8,56214.85,2,0,0,1,180612.0
191,192,15771086,Graham,512.0,France,Female,36,3,84327.77,2,1,0,0,281137.0
192,193,15756850,Golovanov,479.0,France,Male,0,1,,2,0,0,0,313357.0
193,194,15702741,Potts,,France,Male,32,8,93012.89,1,1,0,0,267328.0
194,195,15679200,Crawford,580.0,Spain,Male,29,9,61710.44,2,1,0,0,2000000.0
195,196,15594815,Aleshire,807.0,France,Male,35,3,174790.15,1,1,1,0,147586.0
196,197,15635905,Moran,616.0,Spain,Female,32,6,,2,1,1,0,282452.0
197,198,15777892,Samsonova,721.0,Germany,Male,37,3,107720.64,1,1,1,0,108973.0
198,199,15656176,Jenkins,501.0,France,Male,57,10,,2,1,1,0,285165.0
199,200,15811127,Volkov,521.0,France,Male,35,6,96423.84,1,1,0,0,306728.0
200,201,15604482,Chiemezie,850.0,Spain,Male,30,2,141040.01,1,1,1,0,315375.0
201,202,15622911,Jude,,France,Male,42,4,105420.18,1,0,1,0,236203.0
202,203,15600974,He,516.0,Spain,Male,50,5,,1,0,1,1,275309.0
203,204,15727868,Onuora,,France,Female,38,2,129022.06,2,1,1,1,262104.0
204,205,15627801,Ginikanwa,512.0,Spain,Male,33,3,176666.62,1,1,0,0,165387.0
205,206,15773039,Ku,550.0,France,Male,37,3,,1,1,1,0,292937.0
206,207,15755262,McDonald,608.0,Spain,Female,41,3,89763.84,1,0,0,1,330057.0
207,208,15679531,Collins,618.0,France,Male,34,5,134954.53,1,1,1,0,289738.0
208,209,15684181,Hackett,643.0,France,Male,45,5,,1,1,0,1,221174.0
209,210,15612087,Dike,671.0,France,Male,45,2,106376.85,1,0,1,0,292645.0
210,211,15752047,Trevisano,689.0,Germany,Male,33,2,161814.64,2,1,0,0,324718.0
211,212,15624592,Tan,603.0,France,Male,0,8,,2,1,1,0,317161.0
212,213,15573152,Glassman,620.0,France,Female,41,9,,2,0,0,0,309146.0
213,214,15594917,Miller,676.0,France,Female,0,1,63095.01,1,1,1,0,158542.0
214,215,15785542,Kornilova,572.0,Germany,Male,26,4,118287.01,2,0,0,0,272992.0
215,216,15723488,Watson,668.0,Germany,Male,47,7,106854.21,1,0,1,1,287222.0
216,217,15680920,Marchesi,695.0,France,Male,46,7,49512.55,1,1,0,0,309824.0
217,218,15786308,Millar,730.0,Spain,Female,33,9,,2,0,0,0,279744.0
218,219,15659366,Shih,807.0,France,Male,43,1,105799.32,2,1,0,1,339344.0
219,220,15774854,Fuller,592.0,France,Male,54,8,,1,1,1,1,144970.0
220,221,15725311,Hay,726.0,France,Female,31,9,114722.05,2,1,1,0,282201.0
221,222,15787155,Yang,514.0,Spain,Male,30,7,,1,0,1,0,277638.0
222,223,15727829,McIntyre,567.0,France,Male,42,2,,2,1,1,0,302006.0
223,224,15733247,Stevenson,850.0,France,Male,33,10,,1,1,0,1,338779.0
224,225,15568748,Poole,671.0,Germany,Male,45,6,99564.22,1,1,1,1,199005.0
225,226,15699029,Bagley,670.0,France,Male,37,4,170557.91,2,1,0,0,336847.0
226,227,15774393,Ch'ien,694.0,France,Female,30,9,,2,1,1,0,296955.0
227,228,15676895,Cattaneo,,Germany,Female,39,6,74596.15,3,1,1,1,239326.0
228,229,15637753,O'Sullivan,751.0,Germany,Male,50,2,96888.39,1,1,0,1,197825.0
229,230,15605461,Lucas,594.0,Germany,Female,29,3,130830.22,1,1,0,0,261380.0
230,231,15808473,Ringrose,673.0,France,Male,72,1,,2,0,1,0,266520.0
231,232,15627000,Freeman,610.0,France,Male,40,0,,2,1,0,0,269712.0
232,233,15787174,Sergeyev,512.0,France,Female,37,1,,2,0,1,0,214034.0
233,234,15723886,Fiore,767.0,Germany,Male,20,3,119714.25,2,0,1,0,285134.0
234,235,15704769,Smith,585.0,France,Female,67,5,113978.97,2,0,1,0,226767.0
235,236,15772896,Dumetochukwu,763.0,Germany,Male,42,6,100160.75,1,1,0,1,320056.0
236,237,15711540,Pacheco,712.0,France,Female,29,2,,1,1,1,0,348445.0
237,238,15764866,Synnot,539.0,Germany,Female,43,3,116220.5,3,1,0,1,203357.0
238,239,15794056,Johnston,668.0,France,Female,46,2,,3,1,0,1,253535.0
239,240,15795149,Stevens,,France,Male,28,2,81173.83,2,0,1,0,306000.0
240,241,15812009,Grant,662.0,Spain,Male,38,4,,2,1,0,0,265956.0
241,242,15651001,Tsao,725.0,Germany,Female,39,5,116803.8,1,1,0,0,172306.0
242,243,15813844,Barnes,703.0,France,Male,37,8,105961.68,2,0,1,0,299825.0
243,244,15596175,McIntosh,659.0,Germany,Male,67,6,117411.6,1,1,1,1,215252.0
244,245,15576269,Madison,523.0,Spain,Male,34,7,,2,1,0,0,261619.0
245,246,15797219,Ifesinachi,635.0,France,Female,40,10,123497.58,1,1,0,1,192922.0
246,247,15685500,Glazkov,772.0,Germany,Male,0,7,152400.51,2,1,0,0,295788.0
247,248,15599792,Dimauro,545.0,France,Female,26,1,,2,1,1,0,225876.0
248,249,15657566,Wieck,,Germany,Male,24,8,103097.85,1,1,1,0,301874.0
249,250,15772423,Liao,739.0,Germany,Male,54,8,126418.14,1,1,0,1,237732.0
250,251,15628112,Hughes,771.0,Germany,Female,36,5,77846.9,1,0,0,0,222414.0
251,252,15753754,Morrison,587.0,Spain,Female,34,1,,2,1,1,0,273798.0
252,253,15793726,Matveyeva,681.0,France,Female,0,0,,2,0,1,0,188302.0
253,254,15694717,Ku,,Germany,Male,37,2,79731.91,1,1,1,0,353508.0
254,255,15665834,Cheatham,696.0,Spain,Male,28,8,,1,0,0,0,260765.0
255,256,15765297,Yao,766.0,Spain,Male,41,0,,2,0,1,0,217524.0
256,257,15636684,Kirkland,727.0,France,Male,34,10,,2,1,1,0,227124.0
257,258,15592979,Rose,671.0,Germany,Female,34,6,37266.67,2,0,0,0,251101.0
258,259,15750803,Jess,693.0,France,Female,30,6,127992.25,1,1,1,0,307361.0
259,260,15607178,Welch,850.0,Germany,Male,38,3,54901.01,1,1,1,0,198646.0
260,261,15713853,Ifeajuna,732.0,Germany,Male,42,9,108748.08,2,1,1,0,228881.0
261,262,15673481,Morton,726.0,Spain,Female,48,6,99906.19,1,1,0,0,247243.0
262,263,15686776,Rossi,557.0,France,Female,32,6,184686.41,2,1,0,0,338799.0
263,264,15673693,Reppert,682.0,France,Female,26,0,110654.02,1,0,1,0,307552.0
264,265,15700696,Kang,738.0,Spain,Male,31,9,79019.8,1,1,1,0,341542.0
265,266,15813163,Ch'iu,531.0,Spain,Female,36,9,99240.51,1,1,0,0,251875.0
266,267,15653857,Wallis,498.0,France,Male,34,2,,2,1,1,0,332489.0
267,268,15777076,Clark,651.0,France,Male,0,7,,2,1,0,0,322972.0
268,269,15717398,Fielding,549.0,Spain,Female,39,7,,1,0,0,1,290161.0
269,270,15799217,Zetticci,791.0,Germany,Female,35,7,52436.2,1,1,0,0,294776.0
270,271,15787071,Dulhunty,650.0,Spain,Male,41,9,,2,0,1,0,215896.0
271,272,15619955,Bevington,733.0,Germany,Male,0,3,100337.96,3,1,0,1,355237.0
272,273,15796505,Boyle,811.0,Germany,Female,34,1,149297.19,2,1,1,0,235992.0
273,274,15725166,Newton,707.0,France,Male,0,8,,2,1,0,0,282279.0
274,275,15800116,Bowman,712.0,Germany,Male,28,4,145605.44,1,0,1,0,289007.0
275,276,15758685,Dubinina,706.0,Spain,Female,37,7,,2,1,1,0,171224.0
276,277,15694456,Toscani,756.0,France,Male,62,3,,1,1,1,1,247152.0
277,278,15767339,Chiazagomekpere,777.0,France,Female,53,10,,2,1,0,0,261786.0
278,279,15683562,Allen,646.0,France,Male,0,6,84026.86,1,0,1,0,243569.0
279,280,15782210,K'ung,714.0,France,Male,46,1,,1,1,0,1,247834.0
280,281,15668893,Wilsmore,782.0,France,Male,0,8,,2,1,1,0,335935.0
281,282,15669169,Hargreaves,775.0,Spain,Male,29,10,,2,1,1,0,202521.0
282,283,15643024,Huang,479.0,Germany,Male,35,4,138718.92,1,1,1,1,177123.0
283,284,15699389,Ch'ien,807.0,France,Male,42,7,118274.71,1,1,1,0,216361.0
284,285,15708608,Wallwork,799.0,France,Female,22,8,174185.98,2,0,1,0,292892.0
285,286,15626144,Chu,675.0,France,Male,40,7,113208.86,2,1,0,0,298496.0
286,287,15573112,Kang,602.0,Spain,Male,29,5,103907.28,1,1,0,0,284942.0
287,288,15790678,Davidson,475.0,France,Female,0,8,119023.28,1,1,0,0,302529.0
288,289,15727556,O'Donnell,744.0,Spain,Female,0,5,166297.89,1,1,1,0,264815.0
289,290,15697307,Nnachetam,588.0,Spain,Male,34,10,,2,1,0,0,220299.0
290,291,15652266,Chidiebele,703.0,Germany,Male,0,9,63227.0,1,0,1,0,195734.0
291,292,15607098,Ahmed,747.0,Spain,Female,41,5,94521.17,2,1,0,0,177505.0
292,293,15655774,Booth,583.0,France,Male,27,7,,2,1,0,0,237026.0
293,294,15590241,Chuang,750.0,Spain,Female,34,9,112822.26,1,0,0,1,295428.0
294,295,15785819,Shao,,France,Male,0,3,,2,1,1,0,263715.0
295,296,15723654,Tsao,773.0,France,Male,25,2,135903.33,1,1,0,0,251410.0
296,297,15774510,Tien,714.0,France,Female,31,4,125169.26,1,1,1,0,189395.0
297,298,15684173,Chang,,Spain,Female,0,7,,3,1,0,1,398425.0
298,299,15650068,Johnson,511.0,France,Male,58,0,149117.31,1,1,1,0,2000000.0
299,300,15811490,French,627.0,France,Male,33,5,,2,1,1,0,257027.0
300,301,15803976,Efremov,694.0,France,Female,31,10,,2,1,0,0,307774.0
301,302,15682541,Hartley,,Spain,Female,36,6,132311.71,1,0,0,0,252525.0
302,303,15695699,Calabrese,687.0,France,Male,35,8,,2,1,0,0,203683.0
303,304,15624188,Chiu,712.0,France,Female,33,6,,2,1,1,0,296597.0
304,305,15812191,Brennan,,France,Male,33,4,118082.89,1,0,0,0,173052.0
305,306,15636673,Onwuatuegwu,667.0,France,Male,0,1,119266.69,1,1,1,0,350276.0
306,307,15594898,Hewitt,,France,Male,43,2,,1,1,1,1,266322.0
307,308,15660211,Shih,,Germany,Male,35,7,156847.29,2,1,0,0,235517.0
308,309,15773972,Balashov,614.0,France,Male,50,4,137104.47,1,1,0,1,168633.0
309,310,15746726,Doyle,438.0,Germany,Male,31,8,78398.69,1,1,0,0,183839.0
310,311,15712287,Pokrovskii,652.0,France,Female,80,4,,2,1,1,0,247094.0
311,312,15702919,Collins,729.0,Germany,Male,30,6,63669.42,1,1,0,0,358943.0
312,313,15674398,Russo,642.0,France,Male,38,3,,2,0,0,0,263489.0
313,314,15797960,Skinner,806.0,Germany,Female,59,0,135296.33,1,1,0,0,2000000.0
314,315,15631868,Robertson,744.0,Spain,Male,36,2,153804.44,1,1,1,0,272295.0
315,316,15581539,Atkinson,474.0,Spain,Male,37,3,,2,0,0,0,386047.0
316,317,15662736,Doyle,559.0,France,Male,49,2,147069.78,1,1,0,1,224706.0
317,318,15666252,Ritchie,706.0,Spain,Male,42,9,,2,1,1,0,340121.0
